"hospital_code","hospital_name","n_years","altas_2020","altas_2021","altas_2022","mean_altas_cmbd_validas","median_cutoff","volume_group"
"02039","02039 - H. de Riotinto","3","3186","3146","3171","3167.66666666667","10616.3333333333","LowVolume"
"02015","02015 - H. de Baza","3","3282","3469","3572","3441","10616.3333333333","LowVolume"
"02026","02026 - H. Valle de los Pedroches","3","3682","3644","4468","3931.33333333333","10616.3333333333","LowVolume"
"02029","02029 - H. de la Serranía","3","4393","5002","5138","4844.33333333333","10616.3333333333","LowVolume"
"02028","02028 - H. de Antequera","3","5322","5786","5452","5520","10616.3333333333","LowVolume"
"02043","02043 - H. San Agustín","3","5518","5935","6809","6087.33333333333","10616.3333333333","LowVolume"
"02011","02011 - H. de La Línea de la Concepción","2",,"5903","6309","6106","10616.3333333333","LowVolume"
"02019","02019 - H. Santa Ana","3","5962","6756","6573","6430.33333333333","10616.3333333333","LowVolume"
"02046","02046 - H. La Inmaculada","3","6267","6438","6754","6486.33333333333","10616.3333333333","LowVolume"
"02036","02036 - H. Infanta Elena","3","6588","6648","6264","6500","10616.3333333333","LowVolume"
"02032","02032 - H. de La Axarquía","3","6319","6566","6923","6602.66666666667","10616.3333333333","LowVolume"
"02044","02044 - H. San Juan de la Cruz","3","6803","7635","7705","7381","10616.3333333333","LowVolume"
"02007","02007 - H. La Merced","3","7133","7380","8762","7758.33333333333","10616.3333333333","LowVolume"
"02025","02025 - H. Infanta Margarita","3","8332","8959","11705","9665.33333333333","10616.3333333333","LowVolume"
"02010","02010 - H. Punta de Europa","3","14042","8510","9297","10616.3333333333","10616.3333333333","HighVolume"
"02013","02013 - H.U. de Puerto Real","3","11789","12463","12366","12206","10616.3333333333","HighVolume"
"02012","02012 - H.U. de Jerez de la Frontera","3","13719","14669","15853","14747","10616.3333333333","HighVolume"
"02042","02042 - H.U. de Jaén","3","18821","19952","20277","19683.3333333333","10616.3333333333","HighVolume"
"02009","02009 - H.U. Puerta del Mar","3","18743","20008","20636","19795.6666666667","10616.3333333333","HighVolume"
"02018","02018 - H.U. San Cecilio","3","19739","21355","21862","20985.3333333333","10616.3333333333","HighVolume"
"02033","02033 - H.U. Virgen de la Victoria","3","19067","22216","22108","21130.3333333333","10616.3333333333","HighVolume"
"02037","02037 - H.U. Juan Ramón Jiménez","3","21253","22132","22452","21945.6666666667","10616.3333333333","HighVolume"
"02004","02004 - H.U. Virgen de Valme","3","20746","21943","23473","22054","10616.3333333333","HighVolume"
"02048","02048 - H.U. Torrecárdenas","3","21019","23324","24543","22962","10616.3333333333","HighVolume"
"02031","02031 - H.U. Regional de Málaga","3","27310","28694","29910","28638","10616.3333333333","HighVolume"
"02020","02020 - H.U. Virgen de las Nieves","3","26701","28341","31151","28731","10616.3333333333","HighVolume"
"02005","02005 - H.U. Virgen Macarena","3","28626","30940","30582","30049.3333333333","10616.3333333333","HighVolume"
"02024","02024 - H.U. Reina Sofía","3","36285","37955","38507","37582.3333333333","10616.3333333333","HighVolume"
"02003","02003 - H.U. Virgen del Rocío","3","42363","48935","49483","46927","10616.3333333333","HighVolume"
